Center_ID,Center_Name
10000000,ศูนย์การศึกษา 1  
10000001,ศูนย์การศึกษา 2
10000002,ศูนย์การศึกษา 3
10000003,ศูนย์การศึกษา 4
10000004,ศูนย์การศึกษา 5
10000005,ศูนย์การศึกษา 6
10000006,ศูนย์การศึกษา 7
10000007,ศูนย์การศึกษา 8
10000008,ศูนย์การศึกษา 9
11000001,ศูนย์พัฒนาองค์ความรู้ 1 
11000002,ศูนย์พัฒนาองค์ความรู้ 2
11000003,ศูนย์พัฒนาองค์ความรู้ 3
11000004,ศูนย์พัฒนาองค์ความรู้ 4
11000005,ศูนย์พัฒนาองค์ความรู้ 5
11000006,ศูนย์พัฒนาองค์ความรู้ 6
11000007,ศูนย์พัฒนาองค์ความรู้ 7
11000008,ศูนย์พัฒนาองค์ความรู้ 8
11000009,ศูนย์พัฒนาองค์ความรู้ 9
11000010,ศูนย์พัฒนาองค์ความรู้ 10
12020000,ศูนย์นวัตกรรม 1
12020001,ศูนย์นวัตกรรม 2
12020002,ศูนย์นวัตกรรม 3
12020003,ศูนย์นวัตกรรม 4
12020004,ศูนย์นวัตกรรม 5
12020005,ศูนย์นวัตกรรม 6
12020006,ศูนย์นวัตกรรม 7
12020007,ศูนย์นวัตกรรม 8
12020008,ศูนย์นวัตกรรม 9
12020009,ศูนย์นวัตกรรม 10
12020010,ศูนย์นวัตกรรม 11
1207A000,ศูนย์วิจัยเฉพาะทาง A
1207B000,ศูนย์วิจัยเฉพาะทาง B
